timestamp,open,high,low,close,volume,open interest
2026-03-02,6820.0,6911.25,6768.5,6888.25,1844835,2000873
2026-03-03,6883.5,6886.0,6718.75,6824.75,2259359,2004039
2026-03-04,6813.25,6894.0,6773.5,6876.0,1546814,1994588
2026-03-05,6883.25,6900.75,6777.0,6835.25,1948470,1979147
2026-03-06,6826.0,6854.0,6715.75,6743.75,1940173,1960779
2026-03-09,6685.5,6818.5,6584.5,6801.0,2265287,1958493
2026-03-10,6800.75,6852.0,6762.5,6787.25,1893966,1919684
2026-03-11,6796.75,6822.5,6749.75,6779.5,1603374,1892918
2026-03-12,6766.0,6769.5,6671.75,6677.5,2042016,1864550
2026-03-13,6735.5,6787.25,6674.75,6685.75,799329,568672
2026-03-16,6659.75,6784.75,6656.0,6755.5,2139665,0
