ts_event,rtype,publisher_id,instrument_id,open,high,low,close,volume
1724623200000000000,33,1,7114,5650750000000,5653500000000,5649000000000,5652750000000,939
1724623260000000000,33,1,7114,5653000000000,5656500000000,5653000000000,5655250000000,750
1724623320000000000,33,1,7114,5655000000000,5656000000000,5654000000000,5654500000000,385
1724623380000000000,33,1,7114,5654500000000,5655750000000,5654500000000,5655500000000,216
1724623440000000000,33,1,7114,5655500000000,5655750000000,5654750000000,5655500000000,112
1724623500000000000,33,1,7114,5655750000000,5656000000000,5655500000000,5656000000000,200
1724623560000000000,33,1,7114,5656000000000,5657000000000,5655500000000,5656500000000,423
1724623620000000000,33,1,7114,5656500000000,5659250000000,5656250000000,5658250000000,870
1724623680000000000,33,1,7114,5658000000000,5658250000000,5657250000000,5657750000000,403
1724623740000000000,33,1,7114,5657750000000,5658000000000,5657250000000,5658000000000,157
1724623800000000000,33,1,7114,5658000000000,5658500000000,5657750000000,5658500000000,92
1724623860000000000,33,1,7114,5658250000000,5658500000000,5657750000000,5658250000000,129
1724623920000000000,33,1,7114,5658250000000,5658250000000,5658000000000,5658000000000,109
1724623980000000000,33,1,7114,5658500000000,5658750000000,5657750000000,5658000000000,160
1724624040000000000,33,1,7114,5658000000000,5658250000000,5657500000000,5657500000000,175
1724624100000000000,33,1,7114,5657500000000,5657750000000,5657000000000,5657000000000,211
1724624160000000000,33,1,7114,5657250000000,5657250000000,5655750000000,5656250000000,257
1724624220000000000,33,1,7114,5656250000000,5657250000000,5656000000000,5657250000000,234
1724624280000000000,33,1,7114,5657500000000,5658250000000,5657250000000,5657500000000,150
1724624340000000000,33,1,7114,5657750000000,5657750000000,5657000000000,5657250000000,143
1724624400000000000,33,1,7114,5657500000000,5658000000000,5657250000000,5657250000000,199
1724624460000000000,33,1,7114,5657000000000,5657750000000,5657000000000,5657750000000,118
1724624520000000000,33,1,7114,5657250000000,5658000000000,5657250000000,5657500000000,63
1724624580000000000,33,1,7114,5657500000000,5657500000000,5657000000000,5657000000000,62
1724624640000000000,33,1,7114,5657250000000,5657250000000,5656000000000,5656500000000,148
