ts_event,rtype,publisher_id,instrument_id,open,high,low,close,volume
1705449600000000000,33,1,763,4800000000000,4800500000000,4799500000000,4799500000000,165
1705449660000000000,33,1,763,4799500000000,4800000000000,4799500000000,4799750000000,46
1705449720000000000,33,1,763,4800000000000,4800500000000,4799750000000,4799750000000,95
1705449780000000000,33,1,763,4799500000000,4799500000000,4798750000000,4799250000000,83
1705449840000000000,33,1,763,4799250000000,4799500000000,4798250000000,4798250000000,143
1705449900000000000,33,1,763,4798250000000,4798750000000,4798000000000,4798250000000,164
1705449960000000000,33,1,763,4798500000000,4799250000000,4798500000000,4798750000000,79
1705450020000000000,33,1,763,4798750000000,4799000000000,4797750000000,4798250000000,124
1705450080000000000,33,1,763,4798000000000,4798500000000,4797750000000,4798500000000,76
1705450140000000000,33,1,763,4798750000000,4799500000000,4798250000000,4798750000000,77
1705450200000000000,33,1,763,4798500000000,4799250000000,4798500000000,4799250000000,37
1705450260000000000,33,1,763,4799500000000,4799500000000,4798500000000,4798500000000,39
1705450320000000000,33,1,763,4798500000000,4798750000000,4798000000000,4798500000000,96
1705450380000000000,33,1,763,4798750000000,4799000000000,4798500000000,4798750000000,31
1705450440000000000,33,1,763,4798750000000,4799000000000,4798750000000,4799000000000,20
1705450500000000000,33,1,763,4798750000000,4799000000000,4798500000000,4798500000000,36
1705450560000000000,33,1,763,4798250000000,4798500000000,4797500000000,4797500000000,119
1705450620000000000,33,1,763,4797750000000,4798000000000,4797250000000,4798000000000,93
1705450680000000000,33,1,763,4798000000000,4798250000000,4797250000000,4797250000000,75
1705450740000000000,33,1,763,4797250000000,4797250000000,4796000000000,4796500000000,350
1705450800000000000,33,1,763,4796500000000,4797000000000,4796500000000,4796500000000,73
1705450860000000000,33,1,763,4796500000000,4797000000000,4796250000000,4797000000000,37
1705450920000000000,33,1,763,4797000000000,4797250000000,4796750000000,4797250000000,49
1705450980000000000,33,1,763,4797250000000,4798000000000,4797000000000,4797750000000,67
1705451040000000000,33,1,763,4798000000000,4798250000000,4797750000000,4797750000000,77
1705451100000000000,33,1,763,4797750000000,4798000000000,4797500000000,4797750000000,27
1705451160000000000,33,1,763,4798000000000,4798500000000,4798000000000,4798250000000,78
1705451220000000000,33,1,763,4798250000000,4798250000000,4797500000000,4797750000000,66
1705451280000000000,33,1,763,4797500000000,4797750000000,4797250000000,4797250000000,47
1705451340000000000,33,1,763,4797250000000,4797250000000,4796750000000,4797000000000,53
