ts_event,rtype,publisher_id,instrument_id,open,high,low,close,volume
1683158400000000000,33,1,9270,4093500000000,4094500000000,4093000000000,4094250000000,397
1683158460000000000,33,1,9270,4094000000000,4094250000000,4093500000000,4093500000000,247
1683158520000000000,33,1,9270,4093750000000,4093750000000,4093250000000,4093500000000,111
1683158580000000000,33,1,9270,4093750000000,4093750000000,4093500000000,4093750000000,62
1683158640000000000,33,1,9270,4093750000000,4094000000000,4093500000000,4093750000000,64
1683158700000000000,33,1,9270,4094000000000,4095500000000,4094000000000,4095250000000,525
1683158760000000000,33,1,9270,4095250000000,4096000000000,4095000000000,4095750000000,277
1683158820000000000,33,1,9270,4095500000000,4096500000000,4095500000000,4095750000000,284
1683158880000000000,33,1,9270,4095750000000,4096750000000,4095500000000,4096750000000,303
1683158940000000000,33,1,9270,4096500000000,4096750000000,4095750000000,4095750000000,339
1683159000000000000,33,1,9270,4095750000000,4096250000000,4095750000000,4096250000000,128
1683159060000000000,33,1,9270,4096000000000,4096750000000,4096000000000,4096500000000,148
1683159120000000000,33,1,9270,4096500000000,4097250000000,4096500000000,4096500000000,479
1683159180000000000,33,1,9270,4096500000000,4096750000000,4096000000000,4096250000000,88
1683159240000000000,33,1,9270,4096250000000,4096500000000,4096000000000,4096250000000,98
1683159300000000000,33,1,9270,4096500000000,4098000000000,4096250000000,4097750000000,591
1683159360000000000,33,1,9270,4097750000000,4097750000000,4097000000000,4097250000000,223
1683159420000000000,33,1,9270,4097250000000,4097750000000,4097250000000,4097750000000,164
1683159480000000000,33,1,9270,4098000000000,4098250000000,4097250000000,4097500000000,176
1683159540000000000,33,1,9270,4097750000000,4098000000000,4097250000000,4097250000000,94
1683159600000000000,33,1,9270,4097250000000,4098000000000,4097250000000,4097750000000,159
1683159660000000000,33,1,9270,4098000000000,4098500000000,4097750000000,4098250000000,168
1683159720000000000,33,1,9270,4098500000000,4098500000000,4098000000000,4098250000000,127
1683159780000000000,33,1,9270,4098500000000,4098500000000,4098000000000,4098250000000,161
1683159840000000000,33,1,9270,4098250000000,4098500000000,4097500000000,4097500000000,236
1683159900000000000,33,1,9270,4097500000000,4097750000000,4097000000000,4097000000000,148
1683159960000000000,33,1,9270,4097000000000,4097250000000,4096750000000,4096750000000,85
1683160020000000000,33,1,9270,4096750000000,4096750000000,4096250000000,4096750000000,155
1683160080000000000,33,1,9270,4096750000000,4096750000000,4096250000000,4096500000000,87
1683160140000000000,33,1,9270,4096500000000,4096500000000,4096250000000,4096250000000,69
1683160200000000000,33,1,9270,4096500000000,4097000000000,4096250000000,4097000000000,142
1683160260000000000,33,1,9270,4097000000000,4097500000000,4096750000000,4096750000000,155
1683160320000000000,33,1,9270,4096750000000,4096750000000,4096000000000,4096000000000,163
1683160380000000000,33,1,9270,4096000000000,4096500000000,4096000000000,4096500000000,101
1683160440000000000,33,1,9270,4096750000000,4096750000000,4095500000000,4096000000000,147
1683160500000000000,33,1,9270,4095500000000,4096000000000,4095500000000,4095500000000,180
1683160560000000000,33,1,9270,4095500000000,4096500000000,4095250000000,4096500000000,151
1683160620000000000,33,1,9270,4096750000000,4097000000000,4096500000000,4096500000000,146
1683160680000000000,33,1,9270,4096750000000,4096750000000,4096500000000,4096500000000,37
1683160740000000000,33,1,9270,4096500000000,4096750000000,4095750000000,4096000000000,76
1683160800000000000,33,1,9270,4096000000000,4096250000000,4095750000000,4096000000000,65
1683160860000000000,33,1,9270,4096000000000,4097000000000,4096000000000,4096500000000,77
1683160920000000000,33,1,9270,4096250000000,4096750000000,4096250000000,4096250000000,85
1683160980000000000,33,1,9270,4096000000000,4096000000000,4095750000000,4096000000000,98
1683161040000000000,33,1,9270,4095750000000,4096000000000,4095250000000,4095750000000,113
1683161100000000000,33,1,9270,4095750000000,4096000000000,4095500000000,4095500000000,29
1683161160000000000,33,1,9270,4095500000000,4096000000000,4095250000000,4096000000000,105
1683161220000000000,33,1,9270,4096000000000,4096250000000,4095500000000,4096250000000,106
1683161280000000000,33,1,9270,4096000000000,4096750000000,4096000000000,4096750000000,120
1683161340000000000,33,1,9270,4096750000000,4098000000000,4096750000000,4098000000000,197
1683161400000000000,33,1,9270,4098000000000,4098000000000,4097250000000,4097250000000,71
1683161460000000000,33,1,9270,4097250000000,4097750000000,4097250000000,4097250000000,95
1683161520000000000,33,1,9270,4097500000000,4097500000000,4097000000000,4097500000000,110
1683161580000000000,33,1,9270,4097250000000,4097500000000,4096750000000,4097000000000,84
1683161640000000000,33,1,9270,4097000000000,4097000000000,4096250000000,4096500000000,116
1683161700000000000,33,1,9270,4096500000000,4096500000000,4095750000000,4096000000000,138
1683161760000000000,33,1,9270,4095750000000,4096000000000,4095750000000,4096000000000,114
1683161820000000000,33,1,9270,4095750000000,4096250000000,4095500000000,4096000000000,44
1683161880000000000,33,1,9270,4096000000000,4096000000000,4095750000000,4096000000000,44
1683161940000000000,33,1,9270,4096250000000,4096500000000,4096250000000,4096250000000,49
1683162000000000000,33,1,9270,4096500000000,4096750000000,4096000000000,4096250000000,228
1683162060000000000,33,1,9270,4096000000000,4096000000000,4095250000000,4096000000000,170
1683162120000000000,33,1,9270,4095750000000,4096000000000,4095500000000,4095750000000,184
1683162180000000000,33,1,9270,4095750000000,4095750000000,4095500000000,4095500000000,82
1683162240000000000,33,1,9270,4095750000000,4095750000000,4095250000000,4095500000000,53
1683162300000000000,33,1,9270,4095500000000,4095750000000,4095500000000,4095750000000,99
1683162360000000000,33,1,9270,4096000000000,4097000000000,4096000000000,4096500000000,173
1683162420000000000,33,1,9270,4096750000000,4097250000000,4096000000000,4097000000000,199
1683162480000000000,33,1,9270,4097000000000,4097250000000,4096750000000,4097000000000,66
1683162540000000000,33,1,9270,4097250000000,4097250000000,4096750000000,4097000000000,54
1683162600000000000,33,1,9270,4097000000000,4097250000000,4096750000000,4096750000000,77
1683162660000000000,33,1,9270,4096750000000,4098250000000,4096500000000,4098250000000,229
1683162720000000000,33,1,9270,4098250000000,4098250000000,4097250000000,4097250000000,129
1683162780000000000,33,1,9270,4097500000000,4097500000000,4097000000000,4097250000000,81
1683162840000000000,33,1,9270,4097000000000,4097750000000,4097000000000,4097750000000,94
1683162900000000000,33,1,9270,4097750000000,4098500000000,4097500000000,4098250000000,122
1683162960000000000,33,1,9270,4098250000000,4099000000000,4098000000000,4098500000000,418
1683163020000000000,33,1,9270,4098500000000,4099000000000,4098250000000,4098500000000,107
1683163080000000000,33,1,9270,4098500000000,4098500000000,4097750000000,4098250000000,129
1683163140000000000,33,1,9270,4098500000000,4098750000000,4098000000000,4098250000000,78
1683163200000000000,33,1,9270,4098250000000,4099750000000,4098250000000,4099000000000,298
1683163260000000000,33,1,9270,4099500000000,4099750000000,4099000000000,4099500000000,190
1683163320000000000,33,1,9270,4099500000000,4101500000000,4099250000000,4101250000000,711
1683163380000000000,33,1,9270,4101250000000,4101250000000,4100250000000,4100500000000,237
1683163440000000000,33,1,9270,4100500000000,4100750000000,4100250000000,4100500000000,117
1683163500000000000,33,1,9270,4100750000000,4100750000000,4100250000000,4100500000000,94
1683163560000000000,33,1,9270,4100500000000,4100500000000,4100000000000,4100250000000,129
1683163620000000000,33,1,9270,4100500000000,4100750000000,4100000000000,4100000000000,185
1683163680000000000,33,1,9270,4100000000000,4101250000000,4100000000000,4101250000000,209
1683163740000000000,33,1,9270,4101250000000,4102000000000,4101250000000,4101750000000,267
1683163800000000000,33,1,9270,4101750000000,4103000000000,4101500000000,4102500000000,564
1683163860000000000,33,1,9270,4102500000000,4103000000000,4102250000000,4102750000000,302
1683163920000000000,33,1,9270,4102500000000,4103250000000,4102250000000,4103250000000,398
1683163980000000000,33,1,9270,4103500000000,4103500000000,4102750000000,4103250000000,449
1683164040000000000,33,1,9270,4103250000000,4104250000000,4103000000000,4104250000000,299
1683164100000000000,33,1,9270,4104000000000,4104500000000,4104000000000,4104500000000,261
1683164160000000000,33,1,9270,4104500000000,4104500000000,4103250000000,4103500000000,410
1683164220000000000,33,1,9270,4103500000000,4104000000000,4103250000000,4104000000000,178
1683164280000000000,33,1,9270,4104000000000,4104000000000,4103250000000,4103750000000,121
1683164340000000000,33,1,9270,4103750000000,4103750000000,4103250000000,4103750000000,121
1683164400000000000,33,1,9270,4103500000000,4104750000000,4103500000000,4104500000000,125
1683164460000000000,33,1,9270,4104750000000,4105250000000,4104250000000,4104500000000,354
1683164520000000000,33,1,9270,4104750000000,4105250000000,4104500000000,4105000000000,192
1683164580000000000,33,1,9270,4104750000000,4105250000000,4104500000000,4105000000000,99
1683164640000000000,33,1,9270,4105000000000,4105500000000,4104750000000,4105000000000,142
1683164700000000000,33,1,9270,4105000000000,4105250000000,4104250000000,4104500000000,198
1683164760000000000,33,1,9270,4104500000000,4105000000000,4104250000000,4104750000000,195
1683164820000000000,33,1,9270,4104500000000,4104750000000,4104500000000,4104500000000,109
1683164880000000000,33,1,9270,4104500000000,4104750000000,4104000000000,4104000000000,125
1683164940000000000,33,1,9270,4104000000000,4104250000000,4103750000000,4103750000000,113
1683165000000000000,33,1,9270,4103750000000,4104000000000,4103500000000,4103750000000,78
1683165060000000000,33,1,9270,4103750000000,4104000000000,4103500000000,4104000000000,166
1683165120000000000,33,1,9270,4103750000000,4104000000000,4103250000000,4103250000000,121
1683165180000000000,33,1,9270,4103250000000,4103750000000,4103000000000,4103250000000,145
1683165240000000000,33,1,9270,4103250000000,4103500000000,4103000000000,4103250000000,72
1683165300000000000,33,1,9270,4103000000000,4104000000000,4103000000000,4104000000000,94
1683165360000000000,33,1,9270,4103750000000,4104250000000,4103750000000,4104250000000,154
1683165420000000000,33,1,9270,4104000000000,4105000000000,4104000000000,4104500000000,130
1683165480000000000,33,1,9270,4104750000000,4104750000000,4104000000000,4104000000000,229
1683165540000000000,33,1,9270,4104000000000,4104250000000,4103750000000,4104000000000,61
1683165600000000000,33,1,9270,4104000000000,4104500000000,4103750000000,4104250000000,175
1683165660000000000,33,1,9270,4104500000000,4106000000000,4104500000000,4105750000000,424
1683165720000000000,33,1,9270,4105500000000,4106500000000,4105500000000,4106250000000,297
