ts_event,rtype,publisher_id,instrument_id,open,high,low,close,volume
1687305600000000000,33,1,2922,4435750000000,4436500000000,4435000000000,4435750000000,423
1687305660000000000,33,1,2922,4436000000000,4436250000000,4435250000000,4435750000000,74
1687305720000000000,33,1,2922,4435250000000,4435750000000,4434750000000,4434750000000,110
1687305780000000000,33,1,2922,4434750000000,4435000000000,4434500000000,4434500000000,51
1687305840000000000,33,1,2922,4434750000000,4435000000000,4434500000000,4434750000000,31
1687305900000000000,33,1,2922,4434500000000,4435000000000,4434250000000,4435000000000,91
1687305960000000000,33,1,2922,4435000000000,4435500000000,4435000000000,4435500000000,56
1687306020000000000,33,1,2922,4435500000000,4435750000000,4435250000000,4435500000000,34
1687306080000000000,33,1,2922,4435750000000,4435750000000,4435000000000,4435000000000,42
1687306140000000000,33,1,2922,4435000000000,4435250000000,4434750000000,4435250000000,26
1687306200000000000,33,1,2922,4435250000000,4435750000000,4435250000000,4435250000000,35
1687306260000000000,33,1,2922,4435500000000,4436000000000,4435500000000,4435750000000,32
1687306320000000000,33,1,2922,4435500000000,4435750000000,4435500000000,4435750000000,31
1687306380000000000,33,1,2922,4435750000000,4435750000000,4435250000000,4435500000000,37
1687306440000000000,33,1,2922,4435250000000,4435500000000,4434750000000,4435500000000,138
1687306500000000000,33,1,2922,4435250000000,4435750000000,4435250000000,4435750000000,71
1687306560000000000,33,1,2922,4435500000000,4436000000000,4435250000000,4435500000000,227
1687306620000000000,33,1,2922,4435250000000,4435500000000,4435000000000,4435500000000,33
1687306680000000000,33,1,2922,4435250000000,4435250000000,4434750000000,4434750000000,19
1687306740000000000,33,1,2922,4435000000000,4435250000000,4434750000000,4435250000000,17
1687306800000000000,33,1,2922,4435500000000,4435750000000,4435500000000,4435500000000,11
1687306860000000000,33,1,2922,4435750000000,4436750000000,4435750000000,4436500000000,104
1687306920000000000,33,1,2922,4436500000000,4437000000000,4436250000000,4436250000000,120
1687306980000000000,33,1,2922,4436500000000,4437000000000,4436500000000,4437000000000,130
1687307040000000000,33,1,2922,4437000000000,4437250000000,4436500000000,4436500000000,76
1687307100000000000,33,1,2922,4436500000000,4436750000000,4436250000000,4436750000000,31
1687307160000000000,33,1,2922,4437000000000,4437000000000,4436750000000,4436750000000,56
1687307220000000000,33,1,2922,4436750000000,4436750000000,4436500000000,4436750000000,38
1687307280000000000,33,1,2922,4436500000000,4437000000000,4436500000000,4436750000000,46
1687307340000000000,33,1,2922,4436500000000,4436750000000,4436250000000,4436500000000,36
