ts_event,rtype,publisher_id,instrument_id,open,high,low,close,volume
1708905600000000000,33,1,763,5099000000000,5099750000000,5099000000000,5099000000000,186
1708905660000000000,33,1,763,5099000000000,5099000000000,5098000000000,5098000000000,285
1708905720000000000,33,1,763,5098250000000,5098250000000,5095250000000,5095500000000,657
1708905780000000000,33,1,763,5095500000000,5096250000000,5095000000000,5095500000000,385
1708905840000000000,33,1,763,5095500000000,5095750000000,5094750000000,5095000000000,236
1708905900000000000,33,1,763,5095000000000,5095250000000,5094250000000,5095000000000,330
1708905960000000000,33,1,763,5094750000000,5095250000000,5094250000000,5094750000000,161
1708906020000000000,33,1,763,5094750000000,5095000000000,5094000000000,5094250000000,234
1708906080000000000,33,1,763,5094250000000,5094500000000,5093500000000,5093750000000,192
1708906140000000000,33,1,763,5093750000000,5094500000000,5093500000000,5094250000000,176
1708906200000000000,33,1,763,5094250000000,5095750000000,5094250000000,5095250000000,406
1708906260000000000,33,1,763,5095500000000,5096750000000,5095250000000,5096500000000,214
1708906320000000000,33,1,763,5096500000000,5096750000000,5095250000000,5095500000000,209
1708906380000000000,33,1,763,5095500000000,5096000000000,5095250000000,5096000000000,63
1708906440000000000,33,1,763,5095750000000,5096000000000,5095250000000,5095500000000,79
1708906500000000000,33,1,763,5095500000000,5095750000000,5095000000000,5095000000000,155
1708906560000000000,33,1,763,5095500000000,5096500000000,5095500000000,5096500000000,118
1708906620000000000,33,1,763,5096250000000,5096500000000,5096000000000,5096000000000,71
1708906680000000000,33,1,763,5096000000000,5096000000000,5095500000000,5095500000000,78
1708906740000000000,33,1,763,5095500000000,5095500000000,5094500000000,5095000000000,164
1708906800000000000,33,1,763,5095000000000,5095000000000,5094000000000,5094250000000,227
1708906860000000000,33,1,763,5094250000000,5094750000000,5094000000000,5094500000000,110
1708906920000000000,33,1,763,5094750000000,5094750000000,5093000000000,5093750000000,286
1708906980000000000,33,1,763,5093750000000,5094250000000,5093500000000,5094250000000,102
1708907040000000000,33,1,763,5094250000000,5094250000000,5093750000000,5094000000000,136
1708907100000000000,33,1,763,5093750000000,5094250000000,5093500000000,5094250000000,81
1708907160000000000,33,1,763,5094000000000,5094500000000,5094000000000,5094000000000,64
1708907220000000000,33,1,763,5094250000000,5094750000000,5094000000000,5094250000000,145
1708907280000000000,33,1,763,5094000000000,5094250000000,5093500000000,5093750000000,113
1708907340000000000,33,1,763,5093750000000,5094500000000,5093750000000,5094500000000,123
1708907400000000000,33,1,763,5094250000000,5095250000000,5094250000000,5095000000000,159
1708907460000000000,33,1,763,5095000000000,5095000000000,5094500000000,5094500000000,74
1708907520000000000,33,1,763,5094250000000,5094750000000,5094250000000,5094250000000,83
1708907580000000000,33,1,763,5094500000000,5094750000000,5094000000000,5094500000000,129
1708907640000000000,33,1,763,5094250000000,5094750000000,5094250000000,5094500000000,33
1708907700000000000,33,1,763,5094750000000,5095000000000,5094250000000,5094500000000,99
1708907760000000000,33,1,763,5094500000000,5094750000000,5094250000000,5094750000000,42
1708907820000000000,33,1,763,5094750000000,5094750000000,5094000000000,5094000000000,118
1708907880000000000,33,1,763,5094000000000,5094250000000,5093750000000,5094000000000,106
1708907940000000000,33,1,763,5094000000000,5094000000000,5093000000000,5093250000000,276
1708908000000000000,33,1,763,5093500000000,5094000000000,5093250000000,5093750000000,155
1708908060000000000,33,1,763,5093750000000,5094000000000,5093250000000,5093500000000,62
1708908120000000000,33,1,763,5093500000000,5093750000000,5091500000000,5092500000000,872
1708908180000000000,33,1,763,5092500000000,5093000000000,5092000000000,5092500000000,303
1708908240000000000,33,1,763,5092500000000,5093500000000,5092500000000,5093000000000,165
1708908300000000000,33,1,763,5093000000000,5093000000000,5091750000000,5092000000000,237
1708908360000000000,33,1,763,5092000000000,5092500000000,5091750000000,5092000000000,164
1708908420000000000,33,1,763,5092250000000,5092250000000,5090250000000,5090750000000,810
1708908480000000000,33,1,763,5091000000000,5091250000000,5090250000000,5090750000000,382
1708908540000000000,33,1,763,5090500000000,5091000000000,5090500000000,5090500000000,160
1708908600000000000,33,1,763,5090250000000,5090750000000,5088500000000,5089250000000,1030
1708908660000000000,33,1,763,5089250000000,5089750000000,5088750000000,5089750000000,361
1708908720000000000,33,1,763,5089750000000,5090500000000,5089500000000,5090250000000,244
1708908780000000000,33,1,763,5090250000000,5091000000000,5090000000000,5091000000000,221
1708908840000000000,33,1,763,5091000000000,5091000000000,5090000000000,5090250000000,111
1708908900000000000,33,1,763,5090250000000,5090250000000,5089250000000,5089500000000,122
1708908960000000000,33,1,763,5089250000000,5090000000000,5088500000000,5089500000000,232
1708909020000000000,33,1,763,5089500000000,5089750000000,5089250000000,5089750000000,91
1708909080000000000,33,1,763,5089750000000,5090000000000,5089500000000,5089500000000,231
1708909140000000000,33,1,763,5089500000000,5089750000000,5089250000000,5089500000000,53
1708909200000000000,33,1,763,5089500000000,5090250000000,5088750000000,5090000000000,304
1708909260000000000,33,1,763,5090000000000,5090500000000,5089000000000,5089750000000,246
1708909320000000000,33,1,763,5089500000000,5089500000000,5089000000000,5089500000000,97
1708909380000000000,33,1,763,5089500000000,5090250000000,5089250000000,5090250000000,63
1708909440000000000,33,1,763,5090000000000,5090500000000,5089750000000,5090500000000,76
1708909500000000000,33,1,763,5090500000000,5091000000000,5090500000000,5090500000000,156
1708909560000000000,33,1,763,5090500000000,5090500000000,5089250000000,5089250000000,82
1708909620000000000,33,1,763,5089250000000,5089500000000,5089000000000,5089250000000,156
1708909680000000000,33,1,763,5089500000000,5089500000000,5087750000000,5088000000000,332
1708909740000000000,33,1,763,5088000000000,5089000000000,5087750000000,5088750000000,265
1708909800000000000,33,1,763,5088750000000,5089000000000,5087750000000,5088000000000,226
1708909860000000000,33,1,763,5088250000000,5088250000000,5087250000000,5088000000000,522
1708909920000000000,33,1,763,5088250000000,5088250000000,5087500000000,5087750000000,204
1708909980000000000,33,1,763,5088000000000,5088500000000,5088000000000,5088500000000,133
1708910040000000000,33,1,763,5088750000000,5088750000000,5088250000000,5088250000000,95
1708910100000000000,33,1,763,5088250000000,5088500000000,5087750000000,5087750000000,140
1708910160000000000,33,1,763,5087750000000,5088000000000,5087500000000,5088000000000,161
1708910220000000000,33,1,763,5088000000000,5088500000000,5087750000000,5088250000000,106
1708910280000000000,33,1,763,5088500000000,5088500000000,5088000000000,5088000000000,66
1708910340000000000,33,1,763,5088000000000,5088750000000,5088000000000,5088500000000,95
1708910400000000000,33,1,763,5088750000000,5090000000000,5088750000000,5089750000000,270
1708910460000000000,33,1,763,5089750000000,5090750000000,5089500000000,5090500000000,246
1708910520000000000,33,1,763,5090250000000,5090500000000,5089500000000,5089750000000,98
1708910580000000000,33,1,763,5089750000000,5090250000000,5089750000000,5090250000000,104
1708910640000000000,33,1,763,5090250000000,5091250000000,5090000000000,5091250000000,406
1708910700000000000,33,1,763,5091250000000,5091750000000,5090750000000,5091750000000,367
1708910760000000000,33,1,763,5091500000000,5091750000000,5091000000000,5091500000000,164
1708910820000000000,33,1,763,5091750000000,5091750000000,5091250000000,5091750000000,66
1708910880000000000,33,1,763,5091500000000,5091750000000,5091250000000,5091750000000,45
1708910940000000000,33,1,763,5091750000000,5092250000000,5091750000000,5092000000000,225
1708911000000000000,33,1,763,5092000000000,5092500000000,5091750000000,5092500000000,180
1708911060000000000,33,1,763,5092250000000,5093750000000,5092250000000,5093500000000,460
1708911120000000000,33,1,763,5093500000000,5093750000000,5092750000000,5093000000000,347
1708911180000000000,33,1,763,5093250000000,5094250000000,5093250000000,5093750000000,269
1708911240000000000,33,1,763,5093750000000,5094000000000,5093250000000,5093500000000,118
1708911300000000000,33,1,763,5093750000000,5093750000000,5092750000000,5093250000000,130
1708911360000000000,33,1,763,5093000000000,5093000000000,5092000000000,5092000000000,192
1708911420000000000,33,1,763,5092250000000,5092250000000,5091750000000,5092250000000,207
1708911480000000000,33,1,763,5092250000000,5093000000000,5092000000000,5092750000000,189
1708911540000000000,33,1,763,5093000000000,5093000000000,5092500000000,5092750000000,58
1708911600000000000,33,1,763,5093000000000,5093250000000,5092500000000,5093250000000,109
1708911660000000000,33,1,763,5093250000000,5093750000000,5092750000000,5093500000000,108
1708911720000000000,33,1,763,5093250000000,5093500000000,5093000000000,5093250000000,52
1708911780000000000,33,1,763,5093250000000,5093500000000,5093000000000,5093250000000,45
1708911840000000000,33,1,763,5093250000000,5093500000000,5093250000000,5093500000000,50
1708911900000000000,33,1,763,5093500000000,5094000000000,5093500000000,5093750000000,113
1708911960000000000,33,1,763,5093750000000,5093750000000,5093250000000,5093500000000,69
1708912020000000000,33,1,763,5093250000000,5093500000000,5093000000000,5093250000000,111
1708912080000000000,33,1,763,5093500000000,5093500000000,5092750000000,5092750000000,155
1708912140000000000,33,1,763,5092750000000,5093000000000,5092250000000,5093000000000,99
1708912200000000000,33,1,763,5092750000000,5093000000000,5092750000000,5093000000000,36
1708912260000000000,33,1,763,5092500000000,5092500000000,5091750000000,5092000000000,225
1708912320000000000,33,1,763,5092000000000,5092000000000,5090750000000,5091250000000,262
1708912380000000000,33,1,763,5091250000000,5091250000000,5090500000000,5090500000000,182
1708912440000000000,33,1,763,5090750000000,5090750000000,5089750000000,5090250000000,316
1708912500000000000,33,1,763,5090000000000,5091000000000,5090000000000,5091000000000,158
1708912560000000000,33,1,763,5091000000000,5092250000000,5090750000000,5092000000000,156
1708912620000000000,33,1,763,5092250000000,5092250000000,5091500000000,5092000000000,64
1708912680000000000,33,1,763,5092000000000,5092000000000,5090750000000,5091500000000,155
1708912740000000000,33,1,763,5091500000000,5091500000000,5089750000000,5090000000000,260
1708912800000000000,33,1,763,5090250000000,5090500000000,5089250000000,5090250000000,331
1708912860000000000,33,1,763,5090250000000,5091000000000,5090250000000,5090750000000,140
1708912920000000000,33,1,763,5090500000000,5091000000000,5090500000000,5090500000000,51
1708912980000000000,33,1,763,5090500000000,5091000000000,5090500000000,5091000000000,40
1708913040000000000,33,1,763,5090750000000,5091250000000,5090750000000,5091000000000,76
1708913100000000000,33,1,763,5091000000000,5091250000000,5090750000000,5091000000000,71
1708913160000000000,33,1,763,5091000000000,5091250000000,5091000000000,5091000000000,32
1708913220000000000,33,1,763,5091000000000,5091250000000,5090750000000,5090750000000,89
1708913280000000000,33,1,763,5090750000000,5091000000000,5090750000000,5090750000000,50
1708913340000000000,33,1,763,5090750000000,5090750000000,5090500000000,5090750000000,42
1708913400000000000,33,1,763,5091000000000,5091000000000,5090500000000,5090500000000,69
1708913460000000000,33,1,763,5090500000000,5091750000000,5090500000000,5091500000000,120
1708913520000000000,33,1,763,5091500000000,5092000000000,5091500000000,5091750000000,95
1708913580000000000,33,1,763,5091750000000,5091750000000,5091500000000,5091750000000,69
1708913640000000000,33,1,763,5091750000000,5092500000000,5091750000000,5092250000000,140
1708913700000000000,33,1,763,5092000000000,5092500000000,5092000000000,5092250000000,110
1708913760000000000,33,1,763,5092500000000,5092750000000,5092250000000,5092750000000,133
1708913820000000000,33,1,763,5092250000000,5092500000000,5092000000000,5092500000000,42
1708913880000000000,33,1,763,5092500000000,5092500000000,5092000000000,5092250000000,56
1708913940000000000,33,1,763,5092000000000,5092000000000,5091750000000,5092000000000,104
1708914000000000000,33,1,763,5092000000000,5092000000000,5091000000000,5091250000000,169
1708914060000000000,33,1,763,5091000000000,5091250000000,5090750000000,5091000000000,53
1708914120000000000,33,1,763,5091000000000,5091250000000,5090500000000,5091000000000,67
1708914180000000000,33,1,763,5090750000000,5091000000000,5090750000000,5091000000000,37
1708914240000000000,33,1,763,5090750000000,5092000000000,5090750000000,5091750000000,140
1708914300000000000,33,1,763,5091750000000,5092000000000,5091250000000,5091500000000,83
1708914360000000000,33,1,763,5091500000000,5091750000000,5091250000000,5091500000000,38
1708914420000000000,33,1,763,5091500000000,5091750000000,5091250000000,5091750000000,42
1708914480000000000,33,1,763,5091500000000,5092250000000,5091500000000,5092000000000,72
1708914540000000000,33,1,763,5092000000000,5092250000000,5092000000000,5092250000000,31
1708914600000000000,33,1,763,5092000000000,5092250000000,5091750000000,5092000000000,44
1708914660000000000,33,1,763,5091750000000,5092000000000,5091000000000,5091000000000,140
1708914720000000000,33,1,763,5091250000000,5091250000000,5090500000000,5090500000000,274
1708914780000000000,33,1,763,5090500000000,5090750000000,5090000000000,5090500000000,156
1708914840000000000,33,1,763,5090750000000,5090750000000,5090250000000,5090500000000,289
1708914900000000000,33,1,763,5090750000000,5091000000000,5090500000000,5090750000000,50
1708914960000000000,33,1,763,5091000000000,5091000000000,5090750000000,5090750000000,31
1708915020000000000,33,1,763,5091000000000,5091250000000,5090750000000,5091000000000,31
1708915080000000000,33,1,763,5091250000000,5091750000000,5091250000000,5091750000000,60
