ts_event,rtype,publisher_id,instrument_id,open,high,low,close,volume
1695686400000000000,33,1,24925,4378000000000,4378250000000,4377000000000,4377000000000,276
1695686460000000000,33,1,24925,4377000000000,4377000000000,4376250000000,4376500000000,365
1695686520000000000,33,1,24925,4376500000000,4376750000000,4375500000000,4376500000000,309
1695686580000000000,33,1,24925,4376500000000,4376500000000,4376000000000,4376000000000,72
1695686640000000000,33,1,24925,4376000000000,4376000000000,4375000000000,4375500000000,283
1695686700000000000,33,1,24925,4375750000000,4376000000000,4375500000000,4376000000000,137
1695686760000000000,33,1,24925,4376000000000,4377000000000,4376000000000,4376750000000,180
1695686820000000000,33,1,24925,4376750000000,4376750000000,4375750000000,4376000000000,63
1695686880000000000,33,1,24925,4376000000000,4376000000000,4375000000000,4375500000000,171
1695686940000000000,33,1,24925,4375500000000,4375750000000,4375250000000,4375250000000,92
1695687000000000000,33,1,24925,4375500000000,4375500000000,4375000000000,4375500000000,84
1695687060000000000,33,1,24925,4375500000000,4375500000000,4374500000000,4375250000000,176
1695687120000000000,33,1,24925,4375000000000,4375000000000,4374250000000,4374500000000,168
1695687180000000000,33,1,24925,4374500000000,4374750000000,4374250000000,4374750000000,70
1695687240000000000,33,1,24925,4374750000000,4374750000000,4373500000000,4373500000000,412
1695687300000000000,33,1,24925,4373500000000,4373500000000,4373000000000,4373250000000,230
1695687360000000000,33,1,24925,4373000000000,4373500000000,4372250000000,4373500000000,271
1695687420000000000,33,1,24925,4373500000000,4373500000000,4373000000000,4373000000000,286
1695687480000000000,33,1,24925,4372750000000,4373250000000,4372500000000,4373250000000,82
1695687540000000000,33,1,24925,4373000000000,4373000000000,4372000000000,4372250000000,116
1695687600000000000,33,1,24925,4372250000000,4372500000000,4371500000000,4372250000000,418
1695687660000000000,33,1,24925,4372500000000,4373000000000,4372250000000,4373000000000,83
1695687720000000000,33,1,24925,4373000000000,4373000000000,4372500000000,4372750000000,69
1695687780000000000,33,1,24925,4372500000000,4372750000000,4372250000000,4372500000000,84
1695687840000000000,33,1,24925,4372750000000,4372750000000,4372250000000,4372250000000,27
1695687900000000000,33,1,24925,4372250000000,4372750000000,4372000000000,4372750000000,70
1695687960000000000,33,1,24925,4372750000000,4372750000000,4372000000000,4372250000000,123
1695688020000000000,33,1,24925,4372250000000,4372250000000,4371750000000,4372000000000,73
1695688080000000000,33,1,24925,4372000000000,4372250000000,4371750000000,4372000000000,48
1695688140000000000,33,1,24925,4372250000000,4372250000000,4371500000000,4371750000000,69
1695688200000000000,33,1,24925,4371750000000,4372250000000,4371500000000,4372250000000,70
1695688260000000000,33,1,24925,4372250000000,4372250000000,4371250000000,4371750000000,137
1695688320000000000,33,1,24925,4371500000000,4371750000000,4371000000000,4371250000000,187
1695688380000000000,33,1,24925,4371250000000,4371250000000,4370250000000,4370500000000,357
1695688440000000000,33,1,24925,4370750000000,4371250000000,4370500000000,4370500000000,186
1695688500000000000,33,1,24925,4371000000000,4371000000000,4370250000000,4370500000000,60
1695688560000000000,33,1,24925,4370750000000,4370750000000,4370250000000,4370500000000,149
1695688620000000000,33,1,24925,4370500000000,4370500000000,4369750000000,4369750000000,342
1695688680000000000,33,1,24925,4369750000000,4370750000000,4369750000000,4370250000000,255
1695688740000000000,33,1,24925,4370250000000,4370500000000,4370250000000,4370250000000,23
1695688800000000000,33,1,24925,4370250000000,4370750000000,4370250000000,4370500000000,93
1695688860000000000,33,1,24925,4370750000000,4371000000000,4370250000000,4370750000000,122
1695688920000000000,33,1,24925,4370750000000,4371250000000,4370500000000,4371000000000,89
1695688980000000000,33,1,24925,4371000000000,4371500000000,4371000000000,4371500000000,228
1695689040000000000,33,1,24925,4371250000000,4371750000000,4371000000000,4371750000000,115
1695689100000000000,33,1,24925,4371500000000,4371750000000,4371250000000,4371500000000,100
1695689160000000000,33,1,24925,4371250000000,4371500000000,4370500000000,4370750000000,124
1695689220000000000,33,1,24925,4370750000000,4371000000000,4370500000000,4370500000000,107
1695689280000000000,33,1,24925,4370250000000,4370500000000,4369750000000,4369750000000,212
1695689340000000000,33,1,24925,4369750000000,4370000000000,4365500000000,4366250000000,1910
1695689400000000000,33,1,24925,4366000000000,4366500000000,4364250000000,4364750000000,1018
1695689460000000000,33,1,24925,4365000000000,4365500000000,4364500000000,4365000000000,268
1695689520000000000,33,1,24925,4365000000000,4365500000000,4364000000000,4365000000000,281
1695689580000000000,33,1,24925,4365000000000,4366500000000,4365000000000,4366250000000,208
1695689640000000000,33,1,24925,4366500000000,4367250000000,4366000000000,4366500000000,401
1695689700000000000,33,1,24925,4366500000000,4366500000000,4365500000000,4365750000000,106
1695689760000000000,33,1,24925,4365750000000,4366250000000,4365500000000,4366250000000,92
1695689820000000000,33,1,24925,4366250000000,4366500000000,4366000000000,4366250000000,171
1695689880000000000,33,1,24925,4366000000000,4366250000000,4365500000000,4366000000000,104
1695689940000000000,33,1,24925,4366000000000,4366250000000,4365750000000,4365750000000,124
1695690000000000000,33,1,24925,4365500000000,4366000000000,4365250000000,4365750000000,163
1695690060000000000,33,1,24925,4365500000000,4365500000000,4364000000000,4365000000000,408
1695690120000000000,33,1,24925,4365000000000,4366250000000,4364500000000,4366000000000,169
1695690180000000000,33,1,24925,4365750000000,4366000000000,4365000000000,4366000000000,150
1695690240000000000,33,1,24925,4366000000000,4366250000000,4365500000000,4366000000000,115
1695690300000000000,33,1,24925,4366250000000,4367000000000,4366250000000,4366500000000,216
1695690360000000000,33,1,24925,4366250000000,4366500000000,4365500000000,4365750000000,103
1695690420000000000,33,1,24925,4365750000000,4365750000000,4364500000000,4364750000000,215
1695690480000000000,33,1,24925,4364750000000,4365750000000,4364500000000,4365500000000,149
1695690540000000000,33,1,24925,4365500000000,4366500000000,4365000000000,4366250000000,207
1695690600000000000,33,1,24925,4366500000000,4366500000000,4365500000000,4365500000000,94
1695690660000000000,33,1,24925,4366000000000,4366500000000,4365750000000,4366000000000,137
1695690720000000000,33,1,24925,4366250000000,4366250000000,4365750000000,4365750000000,67
1695690780000000000,33,1,24925,4365750000000,4366250000000,4365500000000,4366250000000,78
1695690840000000000,33,1,24925,4366250000000,4366250000000,4365500000000,4366000000000,143
1695690900000000000,33,1,24925,4366000000000,4366000000000,4364250000000,4364500000000,361
1695690960000000000,33,1,24925,4364750000000,4365000000000,4363750000000,4364500000000,422
1695691020000000000,33,1,24925,4364250000000,4365500000000,4364250000000,4365500000000,101
1695691080000000000,33,1,24925,4365500000000,4366000000000,4365250000000,4366000000000,66
1695691140000000000,33,1,24925,4366250000000,4366250000000,4365750000000,4366000000000,109
1695691200000000000,33,1,24925,4365750000000,4366000000000,4365250000000,4366000000000,59
1695691260000000000,33,1,24925,4366000000000,4366750000000,4365750000000,4366000000000,114
1695691320000000000,33,1,24925,4366000000000,4366000000000,4365500000000,4365500000000,72
1695691380000000000,33,1,24925,4365500000000,4365500000000,4364750000000,4365000000000,88
1695691440000000000,33,1,24925,4365000000000,4366000000000,4364500000000,4365750000000,125
1695691500000000000,33,1,24925,4366000000000,4366500000000,4365750000000,4366500000000,111
1695691560000000000,33,1,24925,4366500000000,4366750000000,4366500000000,4366750000000,144
1695691620000000000,33,1,24925,4366750000000,4367000000000,4366250000000,4366750000000,107
1695691680000000000,33,1,24925,4366750000000,4366750000000,4366000000000,4366250000000,55
1695691740000000000,33,1,24925,4366000000000,4366750000000,4366000000000,4366500000000,135
1695691800000000000,33,1,24925,4366250000000,4366750000000,4365500000000,4365750000000,145
1695691860000000000,33,1,24925,4366000000000,4366250000000,4365250000000,4365500000000,192
1695691920000000000,33,1,24925,4365750000000,4366000000000,4365500000000,4365750000000,119
1695691980000000000,33,1,24925,4365750000000,4366000000000,4365000000000,4365500000000,75
1695692040000000000,33,1,24925,4365250000000,4365500000000,4365250000000,4365250000000,65
1695692100000000000,33,1,24925,4365250000000,4365250000000,4365000000000,4365000000000,71
1695692160000000000,33,1,24925,4365250000000,4365250000000,4364500000000,4364500000000,136
