ts_event,rtype,publisher_id,instrument_id,open,high,low,close,volume
1693526400000000000,33,1,2922,4518250000000,4519000000000,4518000000000,4518250000000,209
1693526460000000000,33,1,2922,4518000000000,4518750000000,4518000000000,4518500000000,215
1693526520000000000,33,1,2922,4518500000000,4519500000000,4518500000000,4519000000000,217
1693526580000000000,33,1,2922,4519250000000,4519250000000,4519000000000,4519250000000,60
1693526640000000000,33,1,2922,4519000000000,4519500000000,4518750000000,4519250000000,47
1693526700000000000,33,1,2922,4519250000000,4519250000000,4518750000000,4519000000000,71
1693526760000000000,33,1,2922,4518750000000,4518750000000,4518250000000,4518500000000,52
1693526820000000000,33,1,2922,4518500000000,4518750000000,4518250000000,4518500000000,32
1693526880000000000,33,1,2922,4518500000000,4519000000000,4518500000000,4519000000000,69
1693526940000000000,33,1,2922,4519000000000,4519500000000,4519000000000,4519250000000,106
1693527000000000000,33,1,2922,4519000000000,4519500000000,4518750000000,4519250000000,97
1693527060000000000,33,1,2922,4519250000000,4519250000000,4519000000000,4519250000000,68
1693527120000000000,33,1,2922,4519000000000,4519000000000,4518750000000,4519000000000,33
1693527180000000000,33,1,2922,4518500000000,4519000000000,4518500000000,4518750000000,34
1693527240000000000,33,1,2922,4518500000000,4518500000000,4518250000000,4518500000000,19
1693527300000000000,33,1,2922,4518250000000,4518250000000,4517250000000,4517500000000,160
1693527360000000000,33,1,2922,4517750000000,4518250000000,4517750000000,4518250000000,48
1693527420000000000,33,1,2922,4518000000000,4518000000000,4517750000000,4517750000000,37
1693527480000000000,33,1,2922,4518000000000,4518000000000,4517750000000,4517750000000,38
1693527540000000000,33,1,2922,4517750000000,4518250000000,4517750000000,4518250000000,80
1693527600000000000,33,1,2922,4518250000000,4518500000000,4518250000000,4518500000000,19
1693527660000000000,33,1,2922,4518250000000,4518750000000,4518250000000,4518500000000,51
1693527720000000000,33,1,2922,4518500000000,4519250000000,4518500000000,4519250000000,42
1693527780000000000,33,1,2922,4519250000000,4519250000000,4518750000000,4519000000000,22
1693527840000000000,33,1,2922,4519000000000,4519000000000,4518000000000,4518000000000,131
1693527900000000000,33,1,2922,4517750000000,4518000000000,4517500000000,4517750000000,45
1693527960000000000,33,1,2922,4518000000000,4518250000000,4518000000000,4518000000000,24
1693528020000000000,33,1,2922,4518000000000,4518250000000,4518000000000,4518250000000,21
1693528080000000000,33,1,2922,4518500000000,4519500000000,4518500000000,4519000000000,74
1693528140000000000,33,1,2922,4519250000000,4519500000000,4519000000000,4519500000000,39
1693528200000000000,33,1,2922,4519500000000,4519750000000,4518750000000,4519250000000,59
1693528260000000000,33,1,2922,4519250000000,4520000000000,4519250000000,4520000000000,134
1693528320000000000,33,1,2922,4519750000000,4520000000000,4519500000000,4519750000000,27
1693528380000000000,33,1,2922,4519750000000,4519750000000,4519500000000,4519500000000,39
1693528440000000000,33,1,2922,4519500000000,4519750000000,4519500000000,4519750000000,9
1693528500000000000,33,1,2922,4519750000000,4519750000000,4519500000000,4519500000000,49
1693528560000000000,33,1,2922,4519750000000,4519750000000,4519250000000,4519750000000,33
1693528620000000000,33,1,2922,4519250000000,4520500000000,4519250000000,4520250000000,183
1693528680000000000,33,1,2922,4520500000000,4521000000000,4520500000000,4520750000000,197
1693528740000000000,33,1,2922,4521000000000,4521000000000,4520250000000,4520500000000,160
1693528800000000000,33,1,2922,4520500000000,4521000000000,4520250000000,4520250000000,49
1693528860000000000,33,1,2922,4520250000000,4520500000000,4520250000000,4520250000000,60
1693528920000000000,33,1,2922,4520250000000,4520750000000,4520250000000,4520750000000,65
1693528980000000000,33,1,2922,4520500000000,4520500000000,4520000000000,4520000000000,45
1693529040000000000,33,1,2922,4520250000000,4520750000000,4520250000000,4520500000000,96
1693529100000000000,33,1,2922,4520250000000,4520250000000,4520000000000,4520000000000,50
1693529160000000000,33,1,2922,4520000000000,4520500000000,4520000000000,4520500000000,43
1693529220000000000,33,1,2922,4520500000000,4520500000000,4520250000000,4520500000000,43
1693529280000000000,33,1,2922,4520250000000,4520500000000,4520250000000,4520250000000,20
1693529340000000000,33,1,2922,4520250000000,4520500000000,4520250000000,4520500000000,5
1693529400000000000,33,1,2922,4520500000000,4520500000000,4520000000000,4520250000000,27
1693529460000000000,33,1,2922,4520250000000,4520500000000,4520000000000,4520250000000,88
1693529520000000000,33,1,2922,4520000000000,4520000000000,4519250000000,4519500000000,149
1693529580000000000,33,1,2922,4519500000000,4519750000000,4519500000000,4519750000000,12
1693529640000000000,33,1,2922,4519750000000,4520000000000,4519750000000,4520000000000,37
1693529700000000000,33,1,2922,4519750000000,4520000000000,4519500000000,4519750000000,61
1693529760000000000,33,1,2922,4519500000000,4520250000000,4519500000000,4520250000000,67
1693529820000000000,33,1,2922,4520000000000,4520000000000,4519750000000,4519750000000,26
1693529880000000000,33,1,2922,4519750000000,4519750000000,4519250000000,4519250000000,92
1693529940000000000,33,1,2922,4519500000000,4519750000000,4519500000000,4519500000000,21
1693530000000000000,33,1,2922,4519750000000,4520000000000,4519500000000,4519500000000,131
1693530060000000000,33,1,2922,4519750000000,4519750000000,4519500000000,4519500000000,62
1693530120000000000,33,1,2922,4519500000000,4519750000000,4519500000000,4519750000000,36
1693530180000000000,33,1,2922,4519750000000,4519750000000,4519750000000,4519750000000,14
1693530240000000000,33,1,2922,4519750000000,4520000000000,4519500000000,4519500000000,34
1693530300000000000,33,1,2922,4519750000000,4520000000000,4519500000000,4520000000000,83
1693530360000000000,33,1,2922,4520000000000,4520250000000,4519750000000,4519750000000,83
