ts_event,rtype,publisher_id,instrument_id,open,high,low,close,volume
1730674800000000000,33,1,42034014,5748000000000,5751250000000,5740000000000,5746000000000,2393
1730674860000000000,33,1,42034014,5745500000000,5747250000000,5743750000000,5744750000000,957
1730674920000000000,33,1,42034014,5745000000000,5745750000000,5742250000000,5744000000000,535
1730674980000000000,33,1,42034014,5744500000000,5746500000000,5743500000000,5744000000000,551
1730675040000000000,33,1,42034014,5743750000000,5749000000000,5743000000000,5747750000000,544
1730675100000000000,33,1,42034014,5748000000000,5751000000000,5747000000000,5747500000000,827
1730675160000000000,33,1,42034014,5747500000000,5748250000000,5746250000000,5747500000000,406
1730675220000000000,33,1,42034014,5747750000000,5749000000000,5746750000000,5748000000000,234
1730675280000000000,33,1,42034014,5748250000000,5748500000000,5746750000000,5748500000000,230
1730675340000000000,33,1,42034014,5748750000000,5749500000000,5747750000000,5749500000000,230
1730675400000000000,33,1,42034014,5749250000000,5752500000000,5749000000000,5752000000000,444
1730675460000000000,33,1,42034014,5752000000000,5752250000000,5750000000000,5751750000000,595
1730675520000000000,33,1,42034014,5751750000000,5752250000000,5748250000000,5748250000000,281
1730675580000000000,33,1,42034014,5748500000000,5750500000000,5748500000000,5750000000000,175
1730675640000000000,33,1,42034014,5750250000000,5750500000000,5748250000000,5749750000000,295
1730675700000000000,33,1,42034014,5749750000000,5751000000000,5748750000000,5750500000000,167
1730675760000000000,33,1,42034014,5750500000000,5750750000000,5749750000000,5750250000000,201
1730675820000000000,33,1,42034014,5750250000000,5751250000000,5749000000000,5751000000000,228
1730675880000000000,33,1,42034014,5751000000000,5751000000000,5749250000000,5750500000000,260
1730675940000000000,33,1,42034014,5750000000000,5750250000000,5749250000000,5750250000000,135
1730676000000000000,33,1,42034014,5750250000000,5751750000000,5750250000000,5750750000000,216
1730676060000000000,33,1,42034014,5750750000000,5752000000000,5750500000000,5751250000000,149
1730676120000000000,33,1,42034014,5751250000000,5751750000000,5751000000000,5751000000000,97
1730676180000000000,33,1,42034014,5750750000000,5751500000000,5750750000000,5751250000000,82
1730676240000000000,33,1,42034014,5751000000000,5754750000000,5751000000000,5752250000000,654
1730676300000000000,33,1,42034014,5752250000000,5752750000000,5751250000000,5751500000000,264
1730676360000000000,33,1,42034014,5751500000000,5754000000000,5751500000000,5753750000000,229
1730676420000000000,33,1,42034014,5754000000000,5754000000000,5752500000000,5753250000000,284
1730676480000000000,33,1,42034014,5752750000000,5754000000000,5752500000000,5753000000000,206
1730676540000000000,33,1,42034014,5753000000000,5754000000000,5753000000000,5753500000000,153
1730676600000000000,33,1,42034014,5753500000000,5754250000000,5753250000000,5754000000000,257
1730676660000000000,33,1,42034014,5754000000000,5755000000000,5753750000000,5754250000000,349
1730676720000000000,33,1,42034014,5754250000000,5755000000000,5754000000000,5754250000000,240
1730676780000000000,33,1,42034014,5754000000000,5754750000000,5752750000000,5754750000000,378
1730676840000000000,33,1,42034014,5754750000000,5754750000000,5754000000000,5754250000000,168
1730676900000000000,33,1,42034014,5754000000000,5754250000000,5752500000000,5753250000000,472
1730676960000000000,33,1,42034014,5753250000000,5754500000000,5753000000000,5754250000000,152
1730677020000000000,33,1,42034014,5754250000000,5755000000000,5754000000000,5754750000000,181
1730677080000000000,33,1,42034014,5754750000000,5755500000000,5753750000000,5754250000000,322
1730677140000000000,33,1,42034014,5753750000000,5754250000000,5753250000000,5753750000000,224
1730677200000000000,33,1,42034014,5753500000000,5754000000000,5752750000000,5754000000000,227
1730677260000000000,33,1,42034014,5754250000000,5755250000000,5754000000000,5755250000000,148
1730677320000000000,33,1,42034014,5755000000000,5755250000000,5754000000000,5754500000000,185
1730677380000000000,33,1,42034014,5754500000000,5755750000000,5754500000000,5755500000000,116
1730677440000000000,33,1,42034014,5755250000000,5755750000000,5754500000000,5754500000000,70
1730677500000000000,33,1,42034014,5754500000000,5754500000000,5753250000000,5753500000000,141
1730677560000000000,33,1,42034014,5753250000000,5753750000000,5753250000000,5753750000000,52
1730677620000000000,33,1,42034014,5753750000000,5754000000000,5753000000000,5753250000000,137
1730677680000000000,33,1,42034014,5753500000000,5753500000000,5752250000000,5752750000000,166
1730677740000000000,33,1,42034014,5752750000000,5753250000000,5752250000000,5753000000000,85
1730677800000000000,33,1,42034014,5753250000000,5754250000000,5751750000000,5752250000000,238
1730677860000000000,33,1,42034014,5752000000000,5753000000000,5752000000000,5752750000000,64
1730677920000000000,33,1,42034014,5752250000000,5753250000000,5752250000000,5753250000000,52
1730677980000000000,33,1,42034014,5753250000000,5753250000000,5752000000000,5752000000000,82
1730678040000000000,33,1,42034014,5752000000000,5752250000000,5751250000000,5751250000000,151
1730678100000000000,33,1,42034014,5751500000000,5752000000000,5751000000000,5751750000000,217
1730678160000000000,33,1,42034014,5752000000000,5752000000000,5751000000000,5751250000000,107
1730678220000000000,33,1,42034014,5751000000000,5751250000000,5750250000000,5750750000000,243
1730678280000000000,33,1,42034014,5750750000000,5750750000000,5750250000000,5750500000000,56
1730678340000000000,33,1,42034014,5750500000000,5750750000000,5749500000000,5749750000000,214
