ts_event,rtype,publisher_id,instrument_id,open,high,low,close,volume
1695081600000000000,33,1,24925,4503750000000,4505000000000,4503750000000,4505000000000,322
1695081660000000000,33,1,24925,4505000000000,4505250000000,4504500000000,4505000000000,176
1695081720000000000,33,1,24925,4505000000000,4505500000000,4504750000000,4504750000000,159
1695081780000000000,33,1,24925,4504750000000,4505000000000,4504500000000,4504750000000,92
1695081840000000000,33,1,24925,4504750000000,4505250000000,4504500000000,4505000000000,102
1695081900000000000,33,1,24925,4505000000000,4505250000000,4504750000000,4505250000000,95
1695081960000000000,33,1,24925,4505000000000,4505500000000,4505000000000,4505000000000,73
1695082020000000000,33,1,24925,4505250000000,4505500000000,4505000000000,4505250000000,36
1695082080000000000,33,1,24925,4505000000000,4505250000000,4504750000000,4505000000000,57
1695082140000000000,33,1,24925,4505000000000,4505000000000,4504500000000,4504500000000,33
1695082200000000000,33,1,24925,4505000000000,4505250000000,4505000000000,4505250000000,36
1695082260000000000,33,1,24925,4505250000000,4505500000000,4505000000000,4505000000000,37
1695082320000000000,33,1,24925,4505000000000,4505250000000,4504750000000,4505000000000,16
1695082380000000000,33,1,24925,4505000000000,4505250000000,4504750000000,4505250000000,32
1695082440000000000,33,1,24925,4505000000000,4505500000000,4504500000000,4504750000000,75
1695082500000000000,33,1,24925,4504750000000,4504750000000,4503750000000,4504250000000,102
1695082560000000000,33,1,24925,4504250000000,4505000000000,4504250000000,4505000000000,35
1695082620000000000,33,1,24925,4505000000000,4505000000000,4504500000000,4504750000000,14
1695082680000000000,33,1,24925,4504750000000,4505250000000,4504750000000,4505000000000,23
1695082740000000000,33,1,24925,4504750000000,4504750000000,4504250000000,4504500000000,31
1695082800000000000,33,1,24925,4504750000000,4505000000000,4504500000000,4505000000000,37
1695082860000000000,33,1,24925,4505000000000,4505250000000,4505000000000,4505250000000,10
1695082920000000000,33,1,24925,4505000000000,4505250000000,4505000000000,4505000000000,9
1695082980000000000,33,1,24925,4505250000000,4505250000000,4504500000000,4504750000000,153
1695083040000000000,33,1,24925,4504750000000,4504750000000,4504250000000,4504500000000,51
1695083100000000000,33,1,24925,4504500000000,4504500000000,4504000000000,4504500000000,38
1695083160000000000,33,1,24925,4504250000000,4504500000000,4504250000000,4504500000000,15
1695083220000000000,33,1,24925,4504250000000,4504500000000,4504250000000,4504250000000,21
1695083280000000000,33,1,24925,4504250000000,4504250000000,4504250000000,4504250000000,12
1695083340000000000,33,1,24925,4504250000000,4504500000000,4504250000000,4504250000000,18
1695083400000000000,33,1,24925,4504250000000,4504500000000,4504250000000,4504500000000,41
1695083460000000000,33,1,24925,4504500000000,4504500000000,4504000000000,4504250000000,23
1695083520000000000,33,1,24925,4504250000000,4504500000000,4504250000000,4504250000000,22
1695083580000000000,33,1,24925,4504250000000,4504500000000,4504250000000,4504500000000,32
1695083640000000000,33,1,24925,4504500000000,4504750000000,4504250000000,4504250000000,22
1695083700000000000,33,1,24925,4504250000000,4504250000000,4502500000000,4502500000000,303
1695083760000000000,33,1,24925,4502500000000,4503000000000,4502250000000,4502750000000,124
1695083820000000000,33,1,24925,4502750000000,4503500000000,4502750000000,4503000000000,110
1695083880000000000,33,1,24925,4502750000000,4503250000000,4502750000000,4503000000000,18
1695083940000000000,33,1,24925,4503000000000,4503750000000,4503000000000,4503500000000,63
1695084000000000000,33,1,24925,4503500000000,4504000000000,4503250000000,4503500000000,53
1695084060000000000,33,1,24925,4503750000000,4503750000000,4503500000000,4503750000000,38
1695084120000000000,33,1,24925,4503750000000,4504000000000,4503500000000,4503750000000,48
1695084180000000000,33,1,24925,4503750000000,4504000000000,4503750000000,4504000000000,2
1695084240000000000,33,1,24925,4503750000000,4503750000000,4503000000000,4503250000000,28
1695084300000000000,33,1,24925,4503250000000,4503250000000,4502500000000,4502750000000,78
