ts_event,rtype,publisher_id,instrument_id,open,high,low,close,volume
1688342400000000000,33,1,2922,4489500000000,4489750000000,4489500000000,4489500000000,341
1688342460000000000,33,1,2922,4489750000000,4490750000000,4489500000000,4490250000000,233
1688342520000000000,33,1,2922,4490250000000,4490750000000,4490000000000,4490000000000,162
1688342580000000000,33,1,2922,4490250000000,4490500000000,4490000000000,4490250000000,187
1688342640000000000,33,1,2922,4490000000000,4490000000000,4489750000000,4489750000000,91
1688342700000000000,33,1,2922,4489750000000,4490000000000,4489250000000,4489250000000,113
1688342760000000000,33,1,2922,4489000000000,4489500000000,4489000000000,4489250000000,86
1688342820000000000,33,1,2922,4489000000000,4489250000000,4488750000000,4489250000000,64
1688342880000000000,33,1,2922,4489000000000,4489000000000,4488250000000,4488500000000,130
1688342940000000000,33,1,2922,4488250000000,4488500000000,4487750000000,4487750000000,296
1688343000000000000,33,1,2922,4487750000000,4488250000000,4487750000000,4488250000000,83
1688343060000000000,33,1,2922,4488000000000,4488250000000,4487750000000,4488000000000,50
1688343120000000000,33,1,2922,4488000000000,4488000000000,4486750000000,4487000000000,197
1688343180000000000,33,1,2922,4487250000000,4487250000000,4486000000000,4486250000000,292
1688343240000000000,33,1,2922,4486250000000,4486750000000,4486000000000,4486000000000,79
1688343300000000000,33,1,2922,4486250000000,4487000000000,4486000000000,4487000000000,108
1688343360000000000,33,1,2922,4487000000000,4487250000000,4486750000000,4487000000000,69
1688343420000000000,33,1,2922,4487000000000,4487000000000,4486750000000,4486750000000,45
1688343480000000000,33,1,2922,4486750000000,4486750000000,4486000000000,4486250000000,98
1688343540000000000,33,1,2922,4486250000000,4486250000000,4486000000000,4486250000000,98
1688343600000000000,33,1,2922,4486250000000,4486750000000,4486000000000,4486250000000,85
1688343660000000000,33,1,2922,4486250000000,4486500000000,4486000000000,4486000000000,186
1688343720000000000,33,1,2922,4485750000000,4486500000000,4485750000000,4486000000000,77
1688343780000000000,33,1,2922,4486000000000,4486250000000,4486000000000,4486250000000,9
1688343840000000000,33,1,2922,4486000000000,4486250000000,4485750000000,4486000000000,23
1688343900000000000,33,1,2922,4486000000000,4486250000000,4486000000000,4486000000000,27
1688343960000000000,33,1,2922,4486000000000,4486750000000,4485750000000,4486500000000,51
1688344020000000000,33,1,2922,4486750000000,4487000000000,4486500000000,4486500000000,54
1688344080000000000,33,1,2922,4486250000000,4486250000000,4485750000000,4485750000000,41
1688344140000000000,33,1,2922,4486000000000,4486000000000,4485750000000,4486000000000,40
1688344200000000000,33,1,2922,4486000000000,4486000000000,4485750000000,4485750000000,23
1688344260000000000,33,1,2922,4486000000000,4486250000000,4486000000000,4486250000000,9
1688344320000000000,33,1,2922,4486500000000,4486750000000,4486250000000,4486500000000,41
1688344380000000000,33,1,2922,4486750000000,4487000000000,4486500000000,4486750000000,43
1688344440000000000,33,1,2922,4486750000000,4486750000000,4486000000000,4486000000000,91
1688344500000000000,33,1,2922,4486000000000,4486250000000,4486000000000,4486000000000,35
1688344560000000000,33,1,2922,4485750000000,4486250000000,4485750000000,4485750000000,34
1688344620000000000,33,1,2922,4485750000000,4486000000000,4485750000000,4486000000000,11
1688344680000000000,33,1,2922,4486250000000,4486750000000,4486250000000,4486500000000,31
1688344740000000000,33,1,2922,4486500000000,4486750000000,4486250000000,4486500000000,39
1688344800000000000,33,1,2922,4486500000000,4486750000000,4486250000000,4486250000000,70
1688344860000000000,33,1,2922,4486000000000,4486250000000,4486000000000,4486000000000,35
1688344920000000000,33,1,2922,4486000000000,4486250000000,4485750000000,4486250000000,55
1688344980000000000,33,1,2922,4486000000000,4486250000000,4486000000000,4486250000000,21
1688345040000000000,33,1,2922,4486000000000,4486250000000,4486000000000,4486250000000,17
1688345100000000000,33,1,2922,4486250000000,4486500000000,4486250000000,4486250000000,19
1688345160000000000,33,1,2922,4486000000000,4486000000000,4485000000000,4485250000000,202
1688345220000000000,33,1,2922,4485250000000,4486000000000,4485250000000,4485500000000,80
1688345280000000000,33,1,2922,4485500000000,4485500000000,4485000000000,4485250000000,80
1688345340000000000,33,1,2922,4485250000000,4485500000000,4485000000000,4485500000000,51
1688345400000000000,33,1,2922,4485250000000,4485750000000,4485250000000,4485500000000,20
1688345460000000000,33,1,2922,4485500000000,4485750000000,4485500000000,4485750000000,16
1688345520000000000,33,1,2922,4486000000000,4486250000000,4486000000000,4486000000000,20
1688345580000000000,33,1,2922,4486000000000,4486000000000,4485750000000,4486000000000,12
1688345640000000000,33,1,2922,4486000000000,4486000000000,4485750000000,4486000000000,9
1688345700000000000,33,1,2922,4485750000000,4485750000000,4485500000000,4485750000000,23
